FIELD,ID,RA_x,DEC_x,Z_50,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,restUjohnson,restVjohnson
GN3,31334,189.34837938,62.29858130200001,0.1278880296188023,31334,0.0425386,0.06022,0.1,0.43,0.8839,0.582857,0,0.432558,0.105006,0.0,0.43735,0.92043,-14.40575,-15.244697,0,0.1474,-1.0,2,0.1403,7.33,-99.0,-99.0,0.009858,0.17,0.0425386,0.00518339,-0.0633679,-1.4669,-1.4669,0.0,606.2186602256567,,
GN3,31639,189.20690214,62.30000853299998,0.1410343981845591,31639,0.0137864,0.01736,0.0,0.334,1.6663,0.237593,0,0.184062,0.0115947,0.0,0.06542,0.27591,-14.023539,-15.163229,-1,0.2413,-1.0,3,0.2413,7.59,0.011883,0.0083835,0.0034998,0.29,0.0137864,0.00190753,-0.241874,-1.6712,-1.6712,0.0,674.2620548039612,,
GN5,31639,189.20690214,62.30000853299998,0.1550016519890807,31639,0.0137864,0.01736,0.0,0.334,1.6663,0.237593,0,0.184062,0.0115947,0.0,0.06542,0.27591,-14.023539,-15.163229,-1,0.2413,-1.0,3,0.2413,7.59,0.011883,0.0083835,0.0034998,0.29,0.0137864,0.00190753,-0.241874,-1.6712,-1.6712,0.0,747.6581891002894,,
GN3,31644,189.34088212,62.30033763599999,0.1906673499445987,31644,0.00347459,0.01887,0.9,0.829,1.1569,0.105185,0,0.814986,0.0390205,0.0,0.27048,0.91186,-12.086251,-13.326237,0,0.1853,-1.0,2,0.2353,7.74,-99.0,-99.0,0.017383,0.08,0.00347459,0.000364709,-0.0109444,-0.2518,-0.2518,0.0,940.1157817121093,,
GN3,31752,189.34123015,62.30173318999999,0.1173311248371484,31752,0.0987773,0.0987773,0.0,1.059,1.0089,0.600832,0,0.34407,0.075807,0.1,2.23234,4.55199,-15.398491,-16.076162,0,0.1167,0.1167,1,0.0788,7.81,0.081501,0.037968,0.043533,0.11,0.105586,0.0183154,0.0630322,0.2911,0.5033,0.0,552.3177746523938,,
GN3,31871,189.24789322,62.30155943099998,0.2412158021721158,31871,0.000764647,0.01176,0.2,1.26,0.9829,0.538694,0,0.205308,0.0273815,0.7,0.11023,0.39551,-11.582007,-12.72675,-1,0.2377,-1.0,3,0.2377,7.4,-99.0,-99.0,0.0086066,0.09,0.000764647,0.000106241,-0.0142719,0.7584,1.8252,0.0,1224.8195819762457,,
GN4,31871,189.24789322,62.30155943099999,0.209263392386002,31871,0.000764647,0.01176,0.2,1.26,0.9829,0.538694,0,0.205308,0.0273815,0.7,0.11023,0.39551,-11.582007,-12.72675,-1,0.2377,-1.0,3,0.2377,7.4,-99.0,-99.0,0.0086066,0.09,0.000764647,0.000106241,-0.0142719,0.7584,1.8252,0.0,1043.2608883060773,,
GN3,31985,189.29106344,62.30194422499999,0.09602781126964965,31985,9.13055e-05,6.347,0.0,1.274,0.3865,0.0911185,0,0.045996,0.00388332,0.2,0.02741,0.26793,-10.331613,-12.167241,-1,0.2131,-1.0,3,0.2131,7.61,0.0094362,0.0084069,0.0010293,0.1,9.13055e-05,0.000117072,-0.0181454,6.655,6.655,0.0,445.589277926609,,
GN3,31995,189.28676757,62.30500277200001,0.228540154006289,31995,0.431375,1.282,0.3,0.661,1.5638,0.0409374,0,0.897846,0.0137432,0.7,2.23122,7.83398,-17.162122,-18.226185,0,0.2319,0.2319,1,0.2431,8.84,0.22168,0.054879,0.1668,0.23,0.431375,0.0541595,-0.133758,-0.7745,-0.7745,0.0,1152.1490036548407,,
GN4,31995,189.28676757,62.30500277200002,0.2313140148227798,31995,0.431375,1.282,0.3,0.661,1.5638,0.0409374,0,0.897846,0.0137432,0.7,2.23122,7.83398,-17.162122,-18.226185,0,0.2319,0.2319,1,0.2431,8.84,0.22168,0.054879,0.1668,0.23,0.431375,0.0541595,-0.133758,-0.7745,-0.7745,0.0,1167.9798529217385,,
GN3,32290,189.36643835,62.30439160299998,0.245065533955202,32290,0.00261987,0.01903,0.2,0.918,1.3877,0.708719,0,0.5544,0.148212,0.1,0.38135,1.48595,-12.458456,-13.80936,0,0.2866,-1.0,2,0.2591,8.33,-99.0,-99.0,0.050833,0.08,0.00261987,0.000495694,-0.0109444,-0.0253,0.4724,0.0,1247.0561368125177,,
GN3,32567,189.32013144,62.30596550600001,0.2016673869477662,32567,10.6285,13.15,0.3,0.344,4.8936,1.69942,0,1.01053,0.271641,0.8,0.3461,0.5869,-20.823541,-21.151884,-1,0.1272,-1.0,3,0.1272,6.77,-99.0,-99.0,0.0067283,2.35,10.6285,1.01474,-42.1616,-1.6508,-1.7857,0.1321,1000.9012351604748,,
